Cohort Year,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort
180437.0,180437.0,180437.0,180437.0,180437.0,180437.0,179040.0,180437.0,180437.0,179040.0,180437.0,180437.0,179040.0,180437.0,180437.0,179040.0,180437.0,180437.0,180437.0,180437.0
2008.086695079169,102.11953202502812,72.14296956832578,67.61822907718482,60.58348343189036,54.81768983079967,77.15005306076854,17.741832329289448,10.619316991526128,12.655985813226096,42.841651102600906,44.19877574998476,64.49455205540661,11.568497591957303,12.807942384322507,22.866183534405717,12.642107771687625,14.403860627254945,14.645920736877692,14.86063335125279
3.236124926253838,148.22223883121143,116.27616996749684,23.88863529822449,106.25021616760688,28.818374113526804,26.51133638960778,62.92154084094691,19.215044805191447,20.565536425347933,62.2508372526137,24.728605980807647,27.721938914600297,23.736497327120883,14.590944277232,26.541504906159936,24.17031425459109,16.660062348708404,26.691204537129007,13.407353228368395
2001.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,26.0,15.0,53.1,10.0,32.1,65.9,0.0,0.0,0.0,8.0,24.8,46.3,1.0,1.7,2.5,1.0,2.2,2.0,4.2
2008.0,58.0,38.0,71.4,30.0,58.0,87.9,1.0,1.9,3.2,24.0,45.7,70.5,4.0,7.7,12.1,4.0,8.6,6.0,12.1
2011.0,101.0,73.0,86.3,61.0,78.3,97.5,9.0,12.3,16.7,50.0,62.7,86.8,11.0,19.4,34.1,13.0,20.9,15.0,22.0
2013.0,1370.0,1349.0,100.0,1349.0,100.0,125.0,1213.0,100.0,100.0,595.0,100.0,125.0,374.0,100.0,200.0,419.0,100.0,380.0,100.0
